GurobiEdit,1,0.2126,93.19
GurobiEdit,2,0.2106,93.20
GurobiEdit,3,0.2089,93.40
GurobiEdit,4,0.2115,93.15
GurobiEdit,5,0.2087,93.20
GurobiEdit,6,0.2131,93.22
GurobiEdit,7,0.2108,93.17
GurobiEdit,8,0.2124,93.08
GurobiEdit,9,0.2106,93.13
GurobiEdit,10,0.2121,93.02
GurobiEdit,11,0.2096,93.16
GurobiEdit,12,0.2089,93.25
GurobiEdit,13,0.2069,93.15
GurobiEdit,14,0.2056,93.33
GurobiEdit,15,0.2018,93.44
GurobiEdit,16,0.1975,93.44
GurobiEdit,17,0.1962,93.59
GurobiEdit,18,0.1915,93.68
GurobiEdit,19,0.1875,93.81
GurobiEdit,20,0.1851,93.88
GurobiEdit,21,0.1778,94.16
GurobiEdit,22,0.1774,94.17
GurobiEdit,23,0.1744,94.24
GurobiEdit,24,0.1733,94.18
GurobiEdit,25,0.1716,94.26
GurobiEdit,26,0.1740,94.15
GurobiEdit,27,0.1675,94.35
GurobiEdit,28,0.1733,94.06
GurobiEdit,29,0.1729,94.14
GurobiEdit,30,0.1775,93.78
GurobiEdit,31,0.1731,94.01
GurobiEdit,32,0.1818,93.67
GurobiEdit,33,0.1780,93.85
GurobiEdit,34,0.1840,93.64
GurobiEdit,35,0.1871,93.53
GurobiEdit,36,0.1931,93.28
GurobiEdit,37,0.2000,93.10
GurobiEdit_Test,-1,120.75600650906563,78.93
