RunID,Candidate,W2_offset_sum,b2_offset_sum,Objective_value,n,Misclassified,Accuracy_Full,GlobalMisclassified
1,0,0.020718139126633978,0.0,0.020718139126633974,1000,1,98.6375,7
1,1,0.0064940441517968355,0.0,0.0064940441517968355,1000,1,98.63499999999999,3
1,2,0.02108754113618307,0.0,0.021087541136183066,1000,1,98.61999999999999,13
1,3,0.02703418071097218,0.0,0.02703418071097218,1000,1,98.63250000000001,8
1,4,0.04488929421818337,0.0,0.044889294218183357,1000,1,98.64,7
1,5,0.00423013351585716,0.0,0.00423013351585716,1000,1,98.63499999999999,1
1,6,0.03185442336280211,0.0,0.031854423362802094,1000,1,98.6375,12
1,7,0.0026728505802942975,0.0,0.0026728505802942966,1000,1,98.63499999999999,1
1,8,0.012575547457142273,0.0,0.012575547457142271,1000,1,98.64,4
1,9,0.0024283803450047352,0.0,0.0024283803450047352,1000,1,98.63499999999999,1
1,10,0.012575535259820898,0.0,0.012575535259820898,1000,1,98.64,4
1,11,0.044889304211749026,0.0,0.04488930421174903,1000,1,98.64,7
1,12,0.00746358629647845,0.0,0.00746358629647845,1000,1,98.63499999999999,1
1,13,0.01340390598125215,0.0,0.013403905981252148,1000,1,98.6375,2
1,14,0.0026728462299109423,0.0,0.0026728462299109423,1000,1,98.63499999999999,1
1,15,0.006931861913884587,0.0,0.006931861913884587,1000,1,98.64,1
1,16,0.028225158187211014,0.0,0.028225158187211028,1000,1,98.64,8
1,17,0.017173016731494555,0.0,0.017173016731494562,1000,1,98.6375,2
1,18,0.018633912762066482,0.0,0.018633912762066482,1000,1,98.63499999999999,3
1,19,0.012575547457142271,0.0,0.012575547457142271,1000,1,98.64,4
