1,GurobiComplete_Train,-1,-1,98.5
1,GurobiComplete_Val,-1,-1,77.25
1,0,Gurobi_Complete_Eval_Train,-1,0.08310360878407955,98.6375
1,0,Gurobi_Complete_Eval_Val,-1,0.8540486641407012,77.25
1,0,Gurobi_Complete_Eval_Test,-1,0.863061722946167,0.7763
1,GurobiComplete_Train,-1,-1,98.1
1,GurobiComplete_Val,-1,-1,77.25999999999999
1,1,Gurobi_Complete_Eval_Train,-1,0.08313191497027873,98.635
1,1,Gurobi_Complete_Eval_Val,-1,0.8541268483400345,77.26
1,1,Gurobi_Complete_Eval_Test,-1,0.8631844694137574,0.7763
1,GurobiComplete_Train,-1,-1,98.8
1,GurobiComplete_Val,-1,-1,77.22
1,2,Gurobi_Complete_Eval_Train,-1,0.08323005194962024,98.62
1,2,Gurobi_Complete_Eval_Val,-1,0.8535150226593018,77.22
1,2,Gurobi_Complete_Eval_Test,-1,0.8627452708244324,0.7761
1,GurobiComplete_Train,-1,-1,98.6
1,GurobiComplete_Val,-1,-1,77.28
1,3,Gurobi_Complete_Eval_Train,-1,0.08313402019441128,98.6325
1,3,Gurobi_Complete_Eval_Val,-1,0.8541319095134735,77.28
1,3,Gurobi_Complete_Eval_Test,-1,0.8632090765953064,0.7763
1,GurobiComplete_Train,-1,-1,98.9
1,GurobiComplete_Val,-1,-1,77.22
1,4,Gurobi_Complete_Eval_Train,-1,0.08321937427222728,98.64
1,4,Gurobi_Complete_Eval_Val,-1,0.8534138748168946,77.22
1,4,Gurobi_Complete_Eval_Test,-1,0.8627444234848023,0.7759
1,GurobiComplete_Train,-1,-1,98.4
1,GurobiComplete_Val,-1,-1,77.25999999999999
1,5,Gurobi_Complete_Eval_Train,-1,0.0831074974834919,98.635
1,5,Gurobi_Complete_Eval_Val,-1,0.8541811386108399,77.26
1,5,Gurobi_Complete_Eval_Test,-1,0.8631725698471069,0.7761
1,GurobiComplete_Train,-1,-1,98.9
1,GurobiComplete_Val,-1,-1,77.21000000000001
1,6,Gurobi_Complete_Eval_Train,-1,0.08325641305446625,98.6375
1,6,Gurobi_Complete_Eval_Val,-1,0.8539644472837448,77.21
1,6,Gurobi_Complete_Eval_Test,-1,0.8625867429733276,0.7757
1,GurobiComplete_Train,-1,-1,98.3
1,GurobiComplete_Val,-1,-1,77.25999999999999
1,7,Gurobi_Complete_Eval_Train,-1,0.0831260597139597,98.635
1,7,Gurobi_Complete_Eval_Val,-1,0.854071485710144,77.26
1,7,Gurobi_Complete_Eval_Test,-1,0.8630812781333923,0.7762
1,GurobiComplete_Train,-1,-1,98.8
1,GurobiComplete_Val,-1,-1,77.27000000000001
1,8,Gurobi_Complete_Eval_Train,-1,0.08310647141635417,98.64
1,8,Gurobi_Complete_Eval_Val,-1,0.8541019031047821,77.27
1,8,Gurobi_Complete_Eval_Test,-1,0.8631734547615051,0.7761
1,GurobiComplete_Train,-1,-1,98.6
1,GurobiComplete_Val,-1,-1,77.25999999999999
1,9,Gurobi_Complete_Eval_Train,-1,0.08311327144503594,98.635
1,9,Gurobi_Complete_Eval_Val,-1,0.8541361454725266,77.26
1,9,Gurobi_Complete_Eval_Test,-1,0.8631103192329407,0.7761
1,GurobiComplete_Train,-1,-1,99.2
1,GurobiComplete_Val,-1,-1,77.27000000000001
1,10,Gurobi_Complete_Eval_Train,-1,0.08310647099018097,98.64
1,10,Gurobi_Complete_Eval_Val,-1,0.8541019031047821,77.27
1,10,Gurobi_Complete_Eval_Test,-1,0.8631734547615051,0.7761
1,GurobiComplete_Train,-1,-1,98.8
1,GurobiComplete_Val,-1,-1,77.22
1,11,Gurobi_Complete_Eval_Train,-1,0.0832193744033575,98.64
1,11,Gurobi_Complete_Eval_Val,-1,0.8534138748168946,77.22
1,11,Gurobi_Complete_Eval_Test,-1,0.8627444234848023,0.7759
1,GurobiComplete_Train,-1,-1,98.5
1,GurobiComplete_Val,-1,-1,77.25999999999999
1,12,Gurobi_Complete_Eval_Train,-1,0.08313968402147293,98.635
1,12,Gurobi_Complete_Eval_Val,-1,0.854151916718483,77.26
1,12,Gurobi_Complete_Eval_Test,-1,0.8631985782623292,0.7763
1,GurobiComplete_Train,-1,-1,98.9
1,GurobiComplete_Val,-1,-1,77.25
1,13,Gurobi_Complete_Eval_Train,-1,0.08318215078413486,98.6375
1,13,Gurobi_Complete_Eval_Val,-1,0.8538626608848572,77.25
1,13,Gurobi_Complete_Eval_Test,-1,0.8629403310775757,0.7759
1,GurobiComplete_Train,-1,-1,97.89999999999999
1,GurobiComplete_Val,-1,-1,77.25999999999999
1,14,Gurobi_Complete_Eval_Train,-1,0.0831260590583086,98.635
1,14,Gurobi_Complete_Eval_Val,-1,0.854071485710144,77.26
1,14,Gurobi_Complete_Eval_Test,-1,0.8630812781333923,0.7762
1,GurobiComplete_Train,-1,-1,98.6
1,GurobiComplete_Val,-1,-1,77.25999999999999
1,15,Gurobi_Complete_Eval_Train,-1,0.08311381402015686,98.64
1,15,Gurobi_Complete_Eval_Val,-1,0.8541491097450257,77.26
1,15,Gurobi_Complete_Eval_Test,-1,0.8631332343101501,0.7761
1,GurobiComplete_Train,-1,-1,98.9
1,GurobiComplete_Val,-1,-1,77.28
1,16,Gurobi_Complete_Eval_Train,-1,0.08327011683285236,98.64
1,16,Gurobi_Complete_Eval_Val,-1,0.8535582733392716,77.28
1,16,Gurobi_Complete_Eval_Test,-1,0.8627477266311645,0.776
1,GurobiComplete_Train,-1,-1,98.6
1,GurobiComplete_Val,-1,-1,77.25999999999999
1,17,Gurobi_Complete_Eval_Train,-1,0.08312471536695958,98.6375
1,17,Gurobi_Complete_Eval_Val,-1,0.8541959492683411,77.26
1,17,Gurobi_Complete_Eval_Test,-1,0.8631744454383851,0.7764
1,GurobiComplete_Train,-1,-1,99.0
1,GurobiComplete_Val,-1,-1,77.25
1,18,Gurobi_Complete_Eval_Train,-1,0.08312013762295246,98.635
1,18,Gurobi_Complete_Eval_Val,-1,0.85409885430336,77.25
1,18,Gurobi_Complete_Eval_Test,-1,0.8631188455581665,0.7763
1,GurobiComplete_Train,-1,-1,98.9
1,GurobiComplete_Val,-1,-1,77.27000000000001
1,19,Gurobi_Complete_Eval_Train,-1,0.08310647105276585,98.64
1,19,Gurobi_Complete_Eval_Val,-1,0.8541019031047821,77.27
1,19,Gurobi_Complete_Eval_Test,-1,0.8631734547615051,0.7761
