Dataset,Sample_Size,Runs,Method,Time
CIFAR10,100,Run1,RAF,5.508107901
CIFAR10,500,Run1,RAF,31.80160546
CIFAR10,1000,Run1,RAF,49.25037575
CIFAR10,3000,Run1,RAF,209.7203543
CIFAR10,4000,Run1,RAF,322.0535269
CIFAR10,5000,Run1,RAF,497.529115
CIFAR10,6000,Run1,RAF,752.589081
CIFAR10,7000,Run1,RAF,1029.701718
CIFAR10,8000,Run1,RAF,1143.361449
CIFAR10,9000,Run1,RAF,3016.872486
CIFAR10,10000,Run1,RAF,3257.496675
MNIST,10000,Run1,RAF,2050.372791
MNIST,1000,Run1,RAF,80.32700968
MNIST,3000,Run1,RAF,217.8276443
MNIST,4000,Run1,RAF,276.1638029
MNIST,5000,Run1,RAF,293.8164091
MNIST,6000,Run1,RAF,533.7155542
MNIST,7000,Run1,RAF,1129.417645
MNIST,8000,Run1,RAF,505.043004
MNIST,9000,Run1,RAF,795.4801672
CIFAR10,100,Run2,RAF,6.696178675
CIFAR10,500,Run2,RAF,37.79761243
CIFAR10,1000,Run2,RAF,50.19137955
CIFAR10,3000,Run2,RAF,232.1458936
CIFAR10,4000,Run2,RAF,358.9808602
CIFAR10,5000,Run2,RAF,414.451745
CIFAR10,6000,Run2,RAF,554.9100637
CIFAR10,7000,Run2,RAF,989.6209474
CIFAR10,8000,Run2,RAF,1187.321615
CIFAR10,9000,Run2,RAF,1371.176695
CIFAR10,10000,Run2,RAF,1104.401067
MNIST-old,3000,Run2,RAF,87.56061125
MNIST-old,4000,Run2,RAF,166.5746915
MNIST-old,6000,Run2,RAF,399.731092
MNIST-old,7000,Run2,RAF,1243.341415
MNIST-old,8000,Run2,RAF,1270.086731
MNIST-old,9000,Run2,RAF,702.5643384
CIFAR10,100,Run3,RAF,6.535214663
CIFAR10,500,Run3,RAF,21.4608736
CIFAR10,1000,Run3,RAF,44.4296968
CIFAR10,3000,Run3,RAF,180.5042522
CIFAR10,4000,Run3,RAF,262.6549501
CIFAR10,5000,Run3,RAF,518.5395472
CIFAR10,6000,Run3,RAF,739.772958
CIFAR10,7000,Run3,RAF,941.483793
CIFAR10,8000,Run3,RAF,2754.133665
CIFAR10,9000,Run3,RAF,1554.451393
CIFAR10,10000,Run3,RAF,3850.112391
MNIST-old,3000,Run3,RAF,88.55933452
MNIST,1000,Run3,RAF,28.68064809
MNIST,3000,Run3,RAF,159.332509
MNIST,4000,Run3,RAF,240.5078564
MNIST,5000,Run3,RAF,368.3375118
MNIST,6000,Run3,RAF,429.0126185
MNIST,7000,Run3,RAF,385.734129
MNIST,8000,Run3,RAF,1789.303046
MNIST,9000,Run3,RAF,1805.797933
CIFAR10,100,Run4,RAF,5.785989046
CIFAR10,500,Run4,RAF,24.88888144
CIFAR10,1000,Run4,RAF,46.43533111
CIFAR10,3000,Run4,RAF,218.9968333
CIFAR10,4000,Run4,RAF,391.3320472
CIFAR10,5000,Run4,RAF,541.0933259
CIFAR10,6000,Run4,RAF,617.1559851
CIFAR10,7000,Run4,RAF,793.8548107
CIFAR10,8000,Run4,RAF,1492.088563
CIFAR10,9000,Run4,RAF,1078.670406
CIFAR10,10000,Run4,RAF,1726.897364
MNIST-old,100,Run4,RAF,2.34391284
MNIST-old,500,Run4,RAF,8.050218821
MNIST-old,1000,Run4,RAF,56.00743604
MNIST-old,5000,Run4,RAF,160.0814555
MNIST,10000,Run4,RAF,525.0252333
MNIST,1000,Run4,RAF,20.29148436
MNIST,3000,Run4,RAF,86.36707664
MNIST,4000,Run4,RAF,112.7886593
MNIST,5000,Run4,RAF,155.1233289
MNIST,6000,Run4,RAF,190.2529583
MNIST,7000,Run4,RAF,417.3011017
MNIST,8000,Run4,RAF,282.3735042
MNIST,9000,Run4,RAF,386.2459679
MNIST-old,100,Run5,RAF,2.159425974
MNIST-old,500,Run5,RAF,8.083500147
MNIST-old,1000,Run5,RAF,27.81981492
MNIST-old,5000,Run5,RAF,289.2181902
MNIST,10000,Run5,RAF,1242.600682
MNIST,1000,Run5,RAF,29.06293607
MNIST,3000,Run5,RAF,121.1577318
MNIST,4000,Run5,RAF,217.6965826
MNIST,5000,Run5,RAF,292.2192295
MNIST,6000,Run5,RAF,396.1810243
MNIST,7000,Run5,RAF,558.1559703
MNIST,8000,Run5,RAF,670.3145251
MNIST,9000,Run5,RAF,1461.848116
