Dataset,Run,Train Loss,Train Acc,Test Acc,Method
Adult,0,0.27585414,0.87088484,0.83604199,Train
Adult,0,0.28078055,0.87058073,0.83571035,F_C1
Adult,0,0.31469652,0.85150784,0.83161968,RAF_C1
Adult,0,0.28076464,0.87063605,0.83571035,F_A1
Adult,0,0.31471297,0.85145259,0.83161968,RAF_A1
Adult,0,0.28499675,0.86845231,0.83338863,F_A10
Adult,0,0.31074530,0.85192251,0.83316749,RAF_A10
Adult,0,0.28065321,0.87088484,0.83604199,B0
Adult,0,0.31482249,0.85136968,0.83161968,RAB0
Adult,1,0.24827652,0.88876909,0.83493644,Train
Adult,1,0.24408051,0.88857561,0.83493644,F_C1
Adult,1,0.33920237,0.84794205,0.82520729,RAF_C1
Adult,1,0.25843886,0.88296431,0.82786071,F_C10
Adult,1,0.28467795,0.87146533,0.83858484,RAF_C10
Adult,1,0.24389538,0.88871384,0.83482587,F_A1
Adult,1,0.34058815,0.84691930,0.82443339,RAF_A1
Adult,1,0.24657546,0.88774633,0.83250415,F_A10
Adult,1,0.32505575,0.85850126,0.83239359,RAF_A10
Adult,1,0.24581590,0.88876909,0.83493644,B0
Adult,1,0.35400817,0.84299415,0.81912661,RAB0
Adult,2,0.26982671,0.89421457,0.83825320,Train
Adult,2,0.23448098,0.89426982,0.83836377,F_C1
Adult,2,0.45755368,0.84067225,0.83394140,RAF_C1
Adult,2,0.24901704,0.88766342,0.83228302,F_C10
Adult,2,0.39042020,0.85576469,0.84123826,RAF_C10
Adult,2,0.23450899,0.89426982,0.83847427,F_A1
Adult,2,0.45750177,0.84047878,0.83405197,RAF_A1
Adult,2,0.23394178,0.89540315,0.83847427,F_A10
Adult,2,0.46225131,0.84257954,0.83106691,RAF_A10
Adult,2,0.23520541,0.89421457,0.83836377,B0
Adult,2,0.45899063,0.84072751,0.83360970,RAB0
Adult,3,0.25434345,0.88962603,0.83493644,Train
Adult,3,0.24704084,0.88951546,0.83582091,F_C1
Adult,3,0.36606818,0.83823979,0.81249309,RAF_C1
Adult,3,0.24704084,0.88951546,0.83582091,F_A1
Adult,3,0.36606818,0.83823979,0.81249309,RAF_A1
Adult,3,0.24826641,0.88912845,0.83383083,F_A10
Adult,3,0.35666803,0.84813553,0.81779987,RAF_A10
Adult,3,0.24682803,0.88962603,0.83493644,B0
Adult,3,0.36727154,0.83647066,0.81182975,RAB0
Adult,4,0.28358656,0.88572848,0.83139855,Train
Adult,4,0.24457760,0.88575613,0.83139855,F_C1
Adult,4,0.49496120,0.83857149,0.82719737,RAF_C1
Adult,4,0.24471304,0.88578379,0.83128798,F_A1
Adult,4,0.49538624,0.83846092,0.82730788,RAF_A1
Adult,4,0.24242267,0.88810569,0.83184081,F_A10
Adult,4,0.47621438,0.84069991,0.82841349,RAF_A10
Adult,4,0.24491039,0.88572848,0.83128798,B0
Adult,4,0.49489829,0.83948368,0.82708681,RAB0
higgs,0,0.32498291,0.84785628,0.67893934,Train
higgs,0,0.34555840,0.84799653,0.67899030,F_A1
higgs,0,0.62680584,0.64089292,0.61540031,RAF_A1
higgs,0,0.34338188,0.84955186,0.68001020,F_A10
higgs,0,0.63075161,0.63537270,0.61295259,RAF_A10
higgs,0,0.34584922,0.84785628,0.67888832,B0
higgs,0,0.62636417,0.64144111,0.61580825,RAB0
higgs,1,0.43729523,0.78643274,0.70086688,Train
higgs,1,0.44744757,0.78640729,0.70076489,F_C1
higgs,1,0.56237996,0.73485130,0.69092298,RAF_C1
higgs,1,0.44744757,0.78640729,0.70076489,F_A1
higgs,1,0.56237996,0.73485130,0.69092298,RAF_A1
higgs,1,0.45086858,0.78379375,0.69954103,F_A10
higgs,1,0.56535041,0.73580742,0.69127995,RAF_A10
higgs,1,0.44731221,0.78643274,0.70086688,B0
higgs,1,0.56199664,0.73474932,0.69041306,RAB0
higgs,2,0.44223616,0.77231991,0.69087201,Train
higgs,2,0.47069937,0.77196294,0.69077003,F_C1
higgs,2,0.57759017,0.73691660,0.69311577,RAF_C1
higgs,2,0.47049597,0.77212864,0.69082099,F_A1
higgs,2,0.57725942,0.73724806,0.69291180,RAF_A1
higgs,2,0.47560787,0.76843154,0.68898523,F_A10
higgs,2,0.58305860,0.73245454,0.69000512,RAF_A10
higgs,2,0.47016644,0.77231991,0.69087201,B0
higgs,2,0.57618123,0.73801297,0.69362569,RAB0
higgs,3,0.45095831,0.77290636,0.69592047,Train
higgs,3,0.47306451,0.77327603,0.69648141,F_C1
higgs,3,0.56015152,0.73286247,0.69765425,RAF_C1
higgs,3,0.47312671,0.77331430,0.69632840,F_A1
higgs,3,0.56012744,0.73287523,0.69770527,RAF_A1
higgs,3,0.46931121,0.77582580,0.69877613,F_A10
higgs,3,0.56025505,0.73235255,0.69729728,RAF_A10
higgs,3,0.47373164,0.77290636,0.69592047,B0
higgs,3,0.55821580,0.73487681,0.70010197,RAB0
higgs,4,0.45702481,0.77286810,0.70780212,Train
higgs,4,0.46705005,0.77260035,0.70759815,F_C1
higgs,4,0.56187147,0.74035877,0.70346761,RAF_C1
higgs,4,0.47149959,0.76954067,0.70535439,F_C10
higgs,4,0.56266552,0.74070299,0.70356959,RAF_C10
higgs,4,0.46705005,0.77260035,0.70759815,F_A1
higgs,4,0.56187147,0.74035877,0.70346761,RAF_A1
higgs,4,0.46864307,0.77180994,0.70688426,F_A10
higgs,4,0.56202596,0.74049896,0.70362061,RAF_A10
higgs,4,0.46670353,0.77286810,0.70780212,B0
higgs,4,0.56178641,0.74058825,0.70372260,RAB0
GiveMeSomeCredit,0,0.18608250,0.93587279,0.93452233,Train
GiveMeSomeCredit,0,0.19215326,0.93583119,0.93414819,F_C1
GiveMeSomeCredit,0,0.19160350,0.93535310,0.93493807,RAF_C1
GiveMeSomeCredit,0,0.26227397,0.93417865,0.93057287,F_C10
GiveMeSomeCredit,0,0.18090627,0.93811774,0.93410659,RAF_C10
GiveMeSomeCredit,0,0.18595625,0.93581045,0.93448073,F_A1
GiveMeSomeCredit,0,0.19002831,0.93513483,0.93477178,RAF_A1
GiveMeSomeCredit,0,0.18927875,0.93460476,0.93227738,F_A10
GiveMeSomeCredit,0,0.18122609,0.93761885,0.93348300,RAF_A10
GiveMeSomeCredit,0,0.31317040,0.93587279,0.93452233,B0
GiveMeSomeCredit,0,0.18066324,0.93804502,0.93414819,RAB0
GiveMeSomeCredit,1,0.18695991,0.93692249,0.93244368,Train
GiveMeSomeCredit,1,0.18649891,0.93691212,0.93240207,F_C1
GiveMeSomeCredit,1,0.20442238,0.93600792,0.93169534,RAF_C1
GiveMeSomeCredit,1,0.18649891,0.93691212,0.93240207,F_A1
GiveMeSomeCredit,1,0.20442238,0.93600792,0.93169534,RAF_A1
GiveMeSomeCredit,1,0.19042858,0.93563372,0.93119645,F_A10
GiveMeSomeCredit,1,0.18689485,0.93804502,0.93190324,RAF_A10
GiveMeSomeCredit,1,0.18648072,0.93692249,0.93244368,B0
GiveMeSomeCredit,1,0.20458947,0.93590397,0.93144590,RAB0
GiveMeSomeCredit,2,0.18211876,0.93972874,0.93231893,Train
GiveMeSomeCredit,2,0.18049929,0.93987423,0.93152905,F_C1
GiveMeSomeCredit,2,0.18880908,0.93586236,0.93281782,RAF_C1
GiveMeSomeCredit,2,0.22708525,0.93728626,0.93123806,F_C10
GiveMeSomeCredit,2,0.17487836,0.94245178,0.92957515,RAF_C10
GiveMeSomeCredit,2,0.18045695,0.93991584,0.93152905,F_A1
GiveMeSomeCredit,2,0.18859658,0.93575847,0.93302572,RAF_A1
GiveMeSomeCredit,2,0.18134832,0.93989503,0.93044817,F_A10
GiveMeSomeCredit,2,0.19051130,0.93661070,0.93240207,RAF_A10
GiveMeSomeCredit,2,0.18039383,0.93972874,0.93231893,B0
GiveMeSomeCredit,2,0.19503568,0.93459439,0.93103015,RAB0
GiveMeSomeCredit,3,0.18790692,0.93692249,0.93373245,Train
GiveMeSomeCredit,3,0.18800442,0.93682897,0.93369085,F_C1
GiveMeSomeCredit,3,0.19518605,0.93537390,0.93298411,RAF_C1
GiveMeSomeCredit,3,0.18800442,0.93682897,0.93369085,F_A1
GiveMeSomeCredit,3,0.19518605,0.93537390,0.93298411,RAF_A1
GiveMeSomeCredit,3,0.19037144,0.93624693,0.93315041,F_A10
GiveMeSomeCredit,3,0.19301987,0.93623656,0.93410659,RAF_A10
GiveMeSomeCredit,3,0.20152147,0.93692249,0.93364930,B0
GiveMeSomeCredit,3,0.17847429,0.94154757,0.93360770,RAB0
GiveMeSomeCredit,4,0.18794765,0.93611181,0.93402344,Train
GiveMeSomeCredit,4,0.18889397,0.93622619,0.93348300,F_C1
GiveMeSomeCredit,4,0.21019904,0.93046820,0.92741334,RAF_C1
GiveMeSomeCredit,4,0.18889397,0.93622619,0.93348300,F_A1
GiveMeSomeCredit,4,0.21019904,0.93046820,0.92741334,RAF_A1
GiveMeSomeCredit,4,0.18866703,0.93634051,0.93294257,F_A10
GiveMeSomeCredit,4,0.19538236,0.93599749,0.93265152,RAF_A10
GiveMeSomeCredit,4,0.18944442,0.93611181,0.93402344,B0
GiveMeSomeCredit,4,0.20852879,0.93103987,0.92911780,RAB0
bank-marketing,0,0.36473674,0.90284228,0.89074421,Train
bank-marketing,0,0.43761086,0.90306348,0.89063364,F_C1
bank-marketing,0,0.27236423,0.90356117,0.88797963,RAF_C1
bank-marketing,0,0.43761086,0.90306348,0.89063364,F_A1
bank-marketing,0,0.27236423,0.90356117,0.88797963,RAF_A1
bank-marketing,0,0.27452356,0.90834439,0.89262414,F_A10
bank-marketing,0,0.36594540,0.90029860,0.89384055,RAF_A10
bank-marketing,0,0.44178984,0.90284228,0.89074421,B0
bank-marketing,0,0.27076545,0.90259343,0.88587856,RAB0
bank-marketing,1,0.19225107,0.92100751,0.90213424,Train
bank-marketing,1,0.18538763,0.92109048,0.90213424,F_A1
bank-marketing,1,0.22665305,0.90076864,0.88786906,RAF_A1
bank-marketing,1,0.18626067,0.92133933,0.90147078,F_A10
bank-marketing,1,0.20089461,0.91876799,0.90124959,RAF_A10
bank-marketing,1,0.18538970,0.92100751,0.90213424,B0
bank-marketing,1,0.22656196,0.90076864,0.88764793,RAB0
bank-marketing,2,0.20694286,0.92164344,0.89748979,Train
bank-marketing,2,0.19918682,0.92142224,0.89771092,F_C1
bank-marketing,2,0.23065570,0.90560716,0.89229238,RAF_C1
bank-marketing,2,0.19901855,0.92150521,0.89760035,F_A1
bank-marketing,2,0.22113568,0.91022450,0.89660513,RAF_A1
bank-marketing,2,0.19673495,0.92169875,0.89616275,F_A10
bank-marketing,2,0.20261042,0.91752380,0.90202367,RAF_A10
bank-marketing,2,0.19928537,0.92164344,0.89726859,B0
bank-marketing,2,0.25673595,0.89955211,0.88886434,RAB0
bank-marketing,3,0.22893538,0.89794844,0.88831139,Train
bank-marketing,3,0.23074435,0.89803141,0.88809025,F_A1
bank-marketing,3,0.18265049,0.93458307,0.88809025,RAF_A1
bank-marketing,3,0.23312446,0.90195751,0.88820082,F_A10
bank-marketing,3,0.12936398,0.93403006,0.89251357,RAF_A10
bank-marketing,3,0.23115076,0.89794844,0.88820082,B0
bank-marketing,3,0.12083638,0.95598316,0.88576800,RAB0
bank-marketing,4,0.20445772,0.91525656,0.90434593,Train
bank-marketing,4,0.20246537,0.91506302,0.90456706,F_C1
bank-marketing,4,0.18068567,0.92930216,0.89251357,RAF_C1
bank-marketing,4,0.20123488,0.91484183,0.90445650,F_A1
bank-marketing,4,0.17915556,0.93790090,0.89704746,RAF_A1
bank-marketing,4,0.20209229,0.91509068,0.90324008,F_A10
bank-marketing,4,0.17933594,0.92733908,0.90246600,RAF_A10
bank-marketing,4,0.20123495,0.91525656,0.90434593,B0
bank-marketing,4,0.34181368,0.90845501,0.89450401,RAB0
santander,0,0.00017939,1.00000000,0.87075001,Train
santander,0,0.00964337,0.99861252,0.84289998,F_C1
santander,0,0.00671303,0.99785626,0.87262499,RAF_C1
santander,0,0.02274636,0.99361253,0.83329999,F_C10
santander,0,0.00013322,1.00000000,0.87317502,RAF_C10
santander,0,0.00964337,0.99861252,0.84289998,F_A1
santander,0,0.00671303,0.99785626,0.87262499,RAF_A1
santander,0,0.02274636,0.99361253,0.83329999,F_A10
santander,0,0.00013322,1.00000000,0.87317502,RAF_A10
santander,0,0.00210074,1.00000000,0.85710001,B0
santander,0,0.04731429,0.99693125,0.86302501,RAB0
santander,1,0.07544446,0.98658127,0.88475001,Train
santander,1,0.05747491,0.98665625,0.88470000,F_C1
santander,1,0.27018121,0.93660623,0.90205002,RAF_C1
santander,1,0.05747491,0.98665625,0.88470000,F_A1
santander,1,0.27018121,0.93660623,0.90205002,RAF_A1
santander,1,0.08009037,0.98786873,0.86892498,F_A10
santander,1,0.15479054,0.95461249,0.89225000,RAF_A10
santander,1,0.05758241,0.98658127,0.88475001,B0
santander,1,0.27006295,0.93663126,0.90219998,RAB0
santander,2,0.13623112,0.93060625,0.90202498,Train
santander,2,0.19747221,0.93148124,0.90170002,F_C1
santander,2,0.00012836,1.00000000,0.87232500,RAF_C1
santander,2,0.21375994,0.92354375,0.89612502,F_C10
santander,2,0.00021736,1.00000000,0.87210000,RAF_C10
santander,2,0.14344224,0.93103123,0.90197498,F_A1
santander,2,0.00012214,1.00000000,0.87192500,RAF_A1
santander,2,0.14093484,0.93623126,0.90154999,F_A10
santander,2,0.00013117,1.00000000,0.87199998,RAF_A10
santander,2,0.14570817,0.93060625,0.90202498,B0
santander,2,0.00010908,1.00000000,0.87137502,RAB0
santander,3,0.00013700,1.00000000,0.87300003,Train
santander,3,0.01066181,0.99833751,0.84162498,F_C1
santander,3,0.00797675,0.99776250,0.87489998,RAF_C1
santander,3,0.02776249,0.99159378,0.83062500,F_C10
santander,3,0.01335808,0.99860626,0.87194997,RAF_C10
santander,3,0.01066181,0.99833751,0.84162498,F_A1
santander,3,0.00797675,0.99776250,0.87489998,RAF_A1
santander,3,0.02776249,0.99159378,0.83062500,F_A10
santander,3,0.01335808,0.99860626,0.87194997,RAF_A10
santander,3,0.00343332,1.00000000,0.85502499,B0
santander,3,0.06671563,0.99484372,0.86489999,RAB0
santander,4,0.00022057,1.00000000,0.86940002,Train
santander,4,0.00858379,0.99931878,0.84219998,F_C1
santander,4,0.02871794,0.99262500,0.85939997,RAF_C1
santander,4,0.03961604,0.98690623,0.82592499,F_C10
santander,4,0.16875276,0.92412502,0.90665001,RAF_C10
santander,4,0.00858379,0.99931878,0.84219998,F_A1
santander,4,0.02871794,0.99262500,0.85939997,RAF_A1
santander,4,0.03961604,0.98690623,0.82592499,F_A10
santander,4,0.16875276,0.92412502,0.90665001,RAF_A10
santander,4,0.00531887,1.00000000,0.84967500,B0
santander,4,0.02331999,0.99526250,0.85664999,RAB0
